Thu Nov 21 15:50:49 2013    profile.txt

         1517395 function calls (1517211 primitive calls) in 10.700 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   100022    3.681    0.000    3.931    0.000 {built-in method eval}
        1    1.244    1.244   10.900   10.900 countlib.py:53(analyze)
   200000    0.901    0.000    1.701    0.000 discret.py:7(discret)
   100000    0.824    0.000    6.455    0.000 countlib.py:43(calcTrueCount)
   193126    0.800    0.000    0.800    0.000 {built-in method round}
   119735    0.723    0.000    1.532    0.000 random.py:216(_randbelow)
   176966    0.641    0.000    0.641    0.000 {method 'getrandbits' of '_random.Random' objects}
   100000    0.380    0.000    0.534    0.000 sabot.py:21(decksOut)
   100000    0.372    0.000    0.906    0.000 sabot.py:24(decksRem)
      385    0.293    0.001    1.825    0.005 random.py:254(shuffle)
   100000    0.272    0.000    0.272    0.000 sabot.py:17(draw)
   100000    0.188    0.000    0.188    0.000 sabot.py:14(cutcarded)
   119735    0.168    0.000    0.168    0.000 {method 'bit_length' of 'int' objects}
101176/101167    0.155    0.000    0.155    0.000 {built-in method len}
       98    0.010    0.000    0.010    0.000 {built-in method stat}
      385    0.007    0.000    1.833    0.005 sabot.py:10(shuffle)
      3/2    0.004    0.001    0.006    0.003 {built-in method load_dynamic}
      269    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:74(_path_join)
       10    0.003    0.000    0.003    0.000 {built-in method loads}
       69    0.003    0.000    0.019    0.000 <frozen importlib._bootstrap>:1352(find_loader)
     1710    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
       10    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:1031(get_data)
       28    0.002    0.000    0.002    0.000 {built-in method OpenKey}
       14    0.001    0.000    0.021    0.002 <frozen importlib._bootstrap>:1278(_get_loader)
       10    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
      265    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
       18    0.001    0.000    0.001    0.000 {built-in method __build_class__}
     12/3    0.001    0.000    0.002    0.001 sre_parse.py:431(_parse)
       16    0.001    0.000    0.026    0.002 <frozen importlib._bootstrap>:1473(_find_module)
      281    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:486(_verbose_message)
      289    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     21/1    0.001    0.000    0.002    0.002 sre_compile.py:33(_compile)
        2    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1244(_path_hooks)
      175    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       76    0.000    0.000    0.001    0.000 sre_parse.py:185(__next)
       10    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap>:935(get_code)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:86(_path_split)
      195    0.000    0.000    0.000    0.000 {built-in method isinstance}
     16/3    0.000    0.000    0.049    0.016 <frozen importlib._bootstrap>:1509(_find_and_load_unlocked)
        2    0.000    0.000    0.000    0.000 {built-in method listdir}
       84    0.000    0.000    0.000    0.000 sre_parse.py:132(__getitem__)
        1    0.000    0.000    0.000    0.000 {method '_parse' of 'xml.etree.ElementTree.XMLParser' objects}
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:415(cache_from_source)
        1    0.000    0.000    0.000    0.000 {built-in method open}
     28/8    0.000    0.000    0.000    0.000 sre_parse.py:142(getwidth)
     10/5    0.000    0.000    0.041    0.008 <frozen importlib._bootstrap>:850(_load_module)
      127    0.000    0.000    0.000    0.000 {built-in method hasattr}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:804(_bytes_from_bytecode)
     53/5    0.000    0.000    0.041    0.008 <frozen importlib._bootstrap>:581(_check_name_wrapper)
     16/3    0.000    0.000    0.050    0.017 <frozen importlib._bootstrap>:1559(_find_and_load)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:796(is_package)
       93    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1261(_path_importer_cache)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:266(_get_module_lock)
      147    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1459(__exit__)
       36    0.000    0.000    0.000    0.000 {built-in method allocate_lock}
     10/5    0.000    0.000    0.041    0.008 <frozen importlib._bootstrap>:536(module_for_loader_wrapper)
       58    0.000    0.000    0.001    0.000 sre_parse.py:210(get)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1455(__enter__)
       14    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:761(_search_registry)
       16    0.000    0.000    0.000    0.000 {method 'find_loader' of 'zipimport.zipimporter' objects}
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:34(_relax_case)
       79    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
