Fri Nov 22 14:52:50 2013    profile

         12177173 function calls (12176988 primitive calls) in 53.579 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    9.969    9.969   53.468   53.468 countlib.py:63(analyze)
  1196417    7.355    0.000   15.350    0.000 C:\Python33\lib\random.py:215(_randbelow)
  2000000    6.946    0.000    6.946    0.000 {built-in method round}
  1762906    6.315    0.000    6.315    0.000 {method 'getrandbits' of '_random.Random' objects}
  1000000    5.807    0.000   12.753    0.000 <string>:1(calcTrueCount)
  1000000    3.578    0.000    8.512    0.000 .\sabot.py:24(decksRem)
  1000000    3.471    0.000    4.934    0.000 .\sabot.py:21(decksOut)
     3847    2.787    0.001   18.143    0.005 C:\Python33\lib\random.py:253(shuffle)
  1000000    2.285    0.000    2.285    0.000 .\sabot.py:17(draw)
  1000000    1.766    0.000    1.766    0.000 .\sabot.py:14(cutcarded)
  1196417    1.679    0.000    1.679    0.000 {method 'bit_length' of 'int' objects}
1007997/1007988    1.475    0.000    1.475    0.000 {built-in method len}
       11    0.049    0.004    0.049    0.004 {method 'read' of '_io.FileIO' objects}
     3847    0.032    0.000   18.181    0.005 .\sabot.py:10(shuffle)
      108    0.012    0.000    0.012    0.000 {built-in method stat}
        1    0.007    0.007    0.007    0.007 {built-in method replace}
       11    0.004    0.000    0.053    0.005 <frozen importlib._bootstrap>:1029(get_data)
      3/2    0.004    0.001    0.007    0.003 {built-in method load_dynamic}
      301    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:74(_path_join)
       77    0.003    0.000    0.022    0.000 <frozen importlib._bootstrap>:1350(find_loader)
        9    0.003    0.000    0.003    0.000 {built-in method loads}
     1500    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
       28    0.002    0.000    0.002    0.000 {built-in method OpenKey}
       14    0.001    0.000    0.024    0.002 <frozen importlib._bootstrap>:1276(_get_loader)
        1    0.001    0.001    0.001    0.001 {built-in method compile}
      299    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
       18    0.001    0.000    0.001    0.000 {built-in method __build_class__}
      315    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:484(_verbose_message)
     12/3    0.001    0.000    0.002    0.001 C:\Python33\lib\sre_parse.py:430(_parse)
       16    0.001    0.000    0.029    0.002 <frozen importlib._bootstrap>:1471(_find_module)
      321    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       22    0.001    0.000    0.001    0.000 {built-in method eval}
     21/1    0.001    0.000    0.002    0.002 C:\Python33\lib\sre_compile.py:32(_compile)
        2    0.000    0.000    0.000    0.000 {built-in method listdir}
       76    0.000    0.000    0.001    0.000 C:\Python33\lib\sre_parse.py:184(__next)
       10    0.000    0.000    0.068    0.007 <frozen importlib._bootstrap>:933(get_code)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1242(_path_hooks)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:86(_path_split)
     16/3    0.000    0.000    0.111    0.037 <frozen importlib._bootstrap>:1507(_find_and_load_unlocked)
      195    0.000    0.000    0.000    0.000 {built-in method isinstance}
        1    0.000    0.000    0.000    0.000 {built-in method open}
      184    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:802(_bytes_from_bytecode)
       84    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_parse.py:131(__getitem__)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:415(cache_from_source)
     10/5    0.000    0.000    0.103    0.021 <frozen importlib._bootstrap>:848(_load_module)
      134    0.000    0.000    0.000    0.000 {built-in method hasattr}
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\contextlib.py:1(<module>)
        1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap>:121(_write_atomic)
        1    0.000    0.000    0.000    0.000 {method '_parse' of 'xml.etree.ElementTree.XMLParser' objects}
     53/5    0.000    0.000    0.103    0.021 <frozen importlib._bootstrap>:579(_check_name_wrapper)
     16/3    0.000    0.000    0.112    0.037 <frozen importlib._bootstrap>:1557(_find_and_load)
     28/8    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_parse.py:141(getwidth)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:794(is_package)
       94    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1259(_path_importer_cache)
     12/1    0.000    0.000   53.579   53.579 {built-in method exec}
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:266(_get_module_lock)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1457(__exit__)
       58    0.000    0.000    0.001    0.000 C:\Python33\lib\sre_parse.py:209(get)
       77    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:34(_relax_case)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1453(__enter__)
       36    0.000    0.000    0.000    0.000 {built-in method allocate_lock}
       14    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:759(_search_registry)
     10/5    0.000    0.000    0.103    0.021 <frozen importlib._bootstrap>:534(module_for_loader_wrapper)
       87    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       16    0.000    0.000    0.000    0.000 {method 'find_loader' of 'zipimport.zipimporter' objects}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:226(release)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:201(acquire)
        1    0.000    0.000    0.041    0.041 C:\Python33\lib\xml\etree\ElementTree.py:59(<module>)
       14    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:752(_open_registry)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1394(_fill_cache)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
        1    0.000    0.000    0.009    0.009 C:\Python33\lib\random.py:37(<module>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:181(__init__)
       20    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:98(_path_is_mode_type)
      4/1    0.000    0.000    0.003    0.003 C:\Python33\lib\sre_parse.py:352(_parse_sub)
        1    0.000    0.000    0.002    0.002 countlib.py:9(load)
       56    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_parse.py:203(match)
       76    0.000    0.000    0.000    0.000 {built-in method release_lock}
        3    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_compile.py:207(_optimize_charset)
        2    0.000    0.000    0.000    0.000 {built-in method init_builtin}
       20    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
       60    0.000    0.000    0.000    0.000 {built-in method acquire_lock}
       12    0.000    0.000    0.000    0.000 {built-in method is_builtin}
     10/5    0.000    0.000    0.103    0.021 <frozen importlib._bootstrap>:1017(load_module)
